[2025-09-29 18:09:09.755] [info]  Running version 11.6.1
[2025-09-29 18:09:09.780] [error] [electron client protocol] FAILED to set default protocol 'insomnia://'
[2025-09-29 18:09:09.804] [info]  [electron client protocol] the current executable is not the default protocol for 'insomnia://'
[2025-09-29 18:09:09.850] [info]  [electron client protocol] the default application set for 'insomnia://' is 'insomnia.desktop
'
[2025-09-29 18:09:09.915] [info]  [fix] Running database repairs
[2025-09-29 18:09:10.038] [info]  [main] Checking for newer version than  11.6.1
[2025-09-29 18:09:10.396] [info]  [main] Found newer version
[2025-09-29 18:09:10.398] [info]  [main] Backup found at: /home/nbardavid/.config/Insomnia/backups/11.6.1
[2025-09-29 18:09:10.398] [info]  [ElectronStorage] Initialized at /home/nbardavid/.config/Insomnia/localStorage
[2025-09-29 18:09:10.407] [info]  [main] Second instance listener received: /opt/insomnia/insomnia||--allow-file-access-from-files||--enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports||--secure-schemes=sentry-ipc||--bypasscsp-schemes=sentry-ipc||--cors-schemes=sentry-ipc||--fetch-schemes=sentry-ipc||--secure-schemes=insomnia-event-source,https,http,insomnia-templating-worker-database,sentry-ipc||--bypasscsp-schemes=sentry-ipc||--cors-schemes=sentry-ipc||--fetch-schemes=insomnia-event-source,https,http,insomnia-templating-worker-database,sentry-ipc||--standard-schemes=insomnia-event-source,https,http,insomnia-templating-worker-database||--streaming-schemes=insomnia-event-source||insomnia://app/auth/finish?box=aVcmbESs979oldaKX05sxScUc1LkR9MiZbFS7n89SmuGADxPsg57G%2FGAN8pyWleVlWxf9P0FqHGVHpe4kt6mzXXfuSs4Bt9dskFWAK50IVvMgdVCC%2FfX3KVOV03X3StCbC%2FfVf3Wug9T6tAQ2k3KYmnE%2FANTgaiMQdVscBBjz%2FP03HGq439NHHfJ1aN5%2FbcWUfoGGd6o%2F%2B2XRQvsFdVQVzuzZ%2BiGEJozwxIBSqpit4zSmiK2TipAPwwrXVtuFSAq8OjDZXc%3D
[2025-09-29 18:09:10.407] [info]  [main] Registering the hidden window restarting handler
